"","Batter_Name","field_zone","n_boundaries"
"545","Ravindra Jadeja","Straight (leg-side)",57
"546","Rahul Tripathi","Straight (off-side) / long-off",47
"547","Rahul Tripathi","Extra cover",2
"548","Rahul Tripathi","Third man",1
"549","Rahul Tripathi","Fine leg",1
"550","Rahul Tripathi","Backward square leg",1
"551","Rahul Tripathi","Long-on",1
"552","Rahul Tripathi","Straight (leg-side)",77
"553","Rahul Chahar","Straight (off-side) / long-off",6
"554","Rahul Chahar","Third man",2
"555","Rahul Chahar","Straight (leg-side)",7
"556","Ruturaj Gaikwad","Straight (off-side) / long-off",77
"557","Ruturaj Gaikwad","Extra cover",1
"558","Ruturaj Gaikwad","Third man",4
"559","Ruturaj Gaikwad","Long-on",2
"560","Ruturaj Gaikwad","Straight (leg-side)",133
"561","Ryan Rickelton","Straight (off-side) / long-off",15
"562","Ryan Rickelton","Extra cover",1
"563","Ryan Rickelton","Third man",2
"564","Ryan Rickelton","Backward square leg",2
"565","Ryan Rickelton","Straight (leg-side)",44
"566","Rohit Sharma","Straight (off-side) / long-off",71
"567","Rohit Sharma","Extra cover",2
"568","Rohit Sharma","Third man",3
"569","Rohit Sharma","Backward square leg",1
"570","Rohit Sharma","Square leg",1
"571","Rohit Sharma","Long-on",2
"572","Rohit Sharma","Straight (leg-side)",144
"573","Rinku Singh","Straight (off-side) / long-off",45
"574","Rinku Singh","Extra cover",1
"575","Rinku Singh","Third man",1
"576","Rinku Singh","Fine leg",2
"577","Rinku Singh","Backward square leg",1
"578","Rinku Singh","Square leg",1
"579","Rinku Singh","Straight (leg-side)",84
"580","Rajat Patidar","Straight (off-side) / long-off",42
"581","Rajat Patidar","Third man",3
"582","Rajat Patidar","Fine leg",1
"583","Rajat Patidar","Straight (leg-side)",92
"584","Rishabh Pant","Straight (off-side) / long-off",48
"585","Rishabh Pant","Extra cover",2
"586","Rishabh Pant","Backward square leg",2
"587","Rishabh Pant","Midwicket",1
"588","Rishabh Pant","Long-on",4
"589","Rishabh Pant","Straight (leg-side)",94
"590","Rilee Rossouw","Straight (off-side) / long-off",23
"591","Rilee Rossouw","Third man",2
"592","Rilee Rossouw","Midwicket",1
"593","Rilee Rossouw","Long-on",1
"594","Rilee Rossouw","Straight (leg-side)",37
"595","Ripal Patel","Straight (off-side) / long-off",1
"596","Ripal Patel","Straight (leg-side)",4
"597","Robin Uthappa","Straight (off-side) / long-off",9
"598","Robin Uthappa","Backward square leg",1
"599","Robin Uthappa","Straight (leg-side)",23
"600","Rahmanullah Gurbaz","Straight (off-side) / long-off",14
"601","Rahmanullah Gurbaz","Square leg",1
"602","Rahmanullah Gurbaz","Straight (leg-side)",41
"603","Ramandeep Singh","Straight (off-side) / long-off",6
