"","venue_clean","situation","Losses","No Result","Wins"
"58","Rajiv Gandhi International Stadium, Uppal, Hyderabad","Lost Toss & Bowled 1st",4,0,4
"59","Rajiv Gandhi International Stadium, Uppal, Hyderabad","Won Toss & Batted 1st",4,0,4
"60","Rajiv Gandhi International Stadium, Uppal, Hyderabad","Won Toss & Bowled 1st",4,1,6
"61","Sawai Mansingh Stadium, Jaipur","Lost Toss & Batted 1st",6,0,3
"62","Sawai Mansingh Stadium, Jaipur","Lost Toss & Bowled 1st",5,0,3
"63","Sawai Mansingh Stadium, Jaipur","Won Toss & Batted 1st",3,0,5
"64","Sawai Mansingh Stadium, Jaipur","Won Toss & Bowled 1st",3,0,6
"65","Wankhede Stadium, Mumbai","Lost Toss & Batted 1st",20,0,15
"66","Wankhede Stadium, Mumbai","Lost Toss & Bowled 1st",2,0,5
"67","Wankhede Stadium, Mumbai","Won Toss & Batted 1st",5,0,2
"68","Wankhede Stadium, Mumbai","Won Toss & Bowled 1st",15,0,20
