"","full.name","bowler.type","bowler_category","Team","ov_01","ov_02","ov_03","ov_04","ov_05","ov_06","ov_07","ov_08","ov_09","ov_10","ov_11","ov_12","ov_13","ov_14","ov_15","ov_16","ov_17","ov_18","ov_19","ov_20"
"83","PHKD Mendis",NA,NA,"Sunrisers Hyderabad",0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
"84","Pat Cummins","RFM","Pacer","Sunrisers Hyderabad",5,5,5,5,2,3,1,1,1,1,4,2,1,1,1,3,3,1,5,0
"85","Dushmantha Chameera","RFM","Pacer","Delhi Capitals",0,3,0,1,1,1,0,0,1,1,2,0,1,0,0,0,2,2,1,1
"86","PVSN Raju",NA,NA,"Mumbai Indians",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"87","Wiaan Mulder","RFM","Pacer","Sunrisers Hyderabad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"88","Wanindu Hasaranga","LS","Spinner","Rajasthan Royals",0,0,0,0,0,0,3,7,2,7,2,4,4,3,4,4,1,0,0,0
"89","Prince Yadav",NA,NA,"Lucknow Super Giants",0,1,1,0,1,1,0,1,1,2,0,5,0,2,2,2,1,1,2,0
"90","Ravichandran Ashwin","OS","Spinner","Chennai Super Kings",0,1,0,2,3,3,4,4,2,4,0,5,0,1,1,0,1,0,0,0
"91","Riyan Parag","LS","Spinner","Rajasthan Royals",0,0,0,0,1,0,3,1,2,2,3,3,2,2,0,1,0,0,0,0
"92","R Sai Kishore","SLA","Spinner","Gujarat Titans",0,0,0,0,0,1,1,3,3,6,4,3,5,3,5,3,2,1,0,4
"93","Romario Shepherd","RFM","Pacer","Royal Challengers Bengaluru",0,0,0,0,0,0,1,1,1,2,0,3,0,1,3,0,1,0,0,1
"94","Ravindra Jadeja","SLA","Spinner","Chennai Super Kings",1,0,0,0,0,1,8,2,6,1,7,1,3,3,4,0,0,1,1,0
"95","Rahul Chahar","LS","Spinner","Sunrisers Hyderabad",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"96","Richard Gleeson","RFM","Pacer","Mumbai Indians",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"97","Reece Topley","LFM","Pacer","Mumbai Indians",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"98","Rashid Khan","LS","Spinner","Gujarat Titans",0,0,0,0,0,3,4,6,4,5,4,7,4,6,2,4,0,5,1,0
"99","Rasikh Salam","RFM","Pacer","Royal Challengers Bengaluru",0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0
"100","Ravi Bishnoi","LS","Spinner","Lucknow Super Giants",0,0,0,0,1,2,6,4,2,3,4,0,3,7,1,2,0,1,0,1
"101","Shivam Dube","RFM","Pacer","Chennai Super Kings",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"102","Spencer Johnson","LFM","Pacer","Kolkata Knight Riders",2,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
"103","Sam Curran","LFM","Pacer","Chennai Super Kings",0,1,0,1,0,1,0,2,0,2,0,2,0,2,0,0,0,0,0,1
"104","Shardul Thakur","RFM","Pacer","Lucknow Super Giants",8,1,5,1,1,0,0,0,0,2,1,0,3,0,1,2,3,2,3,1
"105","Sunil Narine","OS","Spinner","Kolkata Knight Riders",0,0,0,0,0,0,5,5,6,5,4,5,2,5,3,3,2,0,0,0
"106","Sandeep Sharma","RFM","Pacer","Rajasthan Royals",1,0,0,3,0,9,1,0,1,0,1,2,1,1,1,1,6,2,4,4
"107","Shahbaz Ahmed","SLA","Spinner","Lucknow Super Giants",0,0,0,1,0,0,1,0,1,0,0,0,1,0,3,0,0,1,0,1
"108","Shashank Singh","RFM","Pacer","Punjab Kings",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"109","Simarjeet Singh","RFM","Pacer","Sunrisers Hyderabad",0,1,1,1,0,2,0,0,0,0,0,2,1,0,1,0,0,1,0,0
"110","Suryansh Shedge",NA,NA,"Punjab Kings",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"111","Suyash Sharma","LS","Spinner","Royal Challengers Bengaluru",0,0,0,0,0,0,6,4,9,3,8,4,4,3,3,3,1,2,0,0
"112","Thangarasu Natarajan","LFM","Pacer","Delhi Capitals",0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"113","Tristan Stubbs",NA,"Pacer","Delhi Capitals",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"114","Trent Boult","LFM","Pacer","Mumbai Indians",10,6,9,3,1,1,0,0,0,0,1,2,1,3,5,3,6,1,4,3
"115","Tushar Deshpande","RFM","Pacer","Rajasthan Royals",1,4,1,2,2,1,2,0,2,1,0,1,2,0,4,3,0,1,3,2
"116","V Nigam",NA,NA,"Delhi Capitals",0,0,0,1,4,3,7,4,2,3,2,2,1,2,2,2,0,3,1,0
"117","V Puthur",NA,NA,"Mumbai Indians",0,0,0,0,0,0,1,2,1,3,0,1,1,0,1,0,1,1,0,0
"118","Vaibhav Arora","RFM","Pacer","Kolkata Knight Riders",10,2,9,1,2,1,0,0,0,0,1,1,1,1,3,2,0,2,3,4
"119","Vijaykumar Vyshak","RFM","Pacer","Punjab Kings",0,0,0,0,0,1,2,1,1,0,1,1,2,1,1,1,1,2,2,0
"120","William O'Rourke","RFM","Pacer","Lucknow Super Giants",0,2,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0
"121","Will Jacks","OS","Spinner","Mumbai Indians",0,0,0,0,2,0,3,0,2,1,0,1,3,0,1,1,0,0,0,0
"122","Washington Sundar","OS","Spinner","Gujarat Titans",0,0,0,0,1,0,0,0,3,0,1,0,1,1,1,1,1,0,1,0
"123","Xavier Bartlett","RFM","Pacer","Punjab Kings",0,3,1,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"124","Yuzvendra Chahal","LS","Spinner","Punjab Kings",0,0,0,0,0,1,5,6,4,6,2,7,2,5,2,0,3,0,1,1
"125","Yash Dayal","LFM","Pacer","Royal Challengers Bengaluru",1,10,2,2,5,4,1,1,1,0,4,3,2,2,1,1,1,2,4,3
"126","Yash Thakur","RFM","Pacer","Punjab Kings",0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
"127","Yudhvir Singh","RFM","Pacer","Rajasthan Royals",0,3,1,2,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0
"128","Zeeshan Ansari",NA,NA,"Sunrisers Hyderabad",0,0,0,0,0,0,5,4,5,5,2,3,3,1,2,3,1,0,1,0
