"","player_name","team","games_played_window","avg_points_q1_per_game","avg_points_q2_per_game","avg_points_q3_per_game","avg_points_q4_per_game","avg_points_first_half_per_game","avg_points_second_half_per_game","points_per_game_last5","rebounds_per_game_last5","assists_per_game_last5","threes_made_per_game_last5","points_per_game_last10","rebounds_per_game_last10","assists_per_game_last10","threes_made_per_game_last10","points_per_game_last15","rebounds_per_game_last15","assists_per_game_last15","threes_made_per_game_last15"
"373","Jamaree Bouyea","Bucks",10,0.7,0.9,1,1.2,1.6,2.2,2,0,1,0,3.25,0.9,1,0.25,2.17,0.67,0.67,0.17
"374","James Bouknight","Hornets",52,1.06,2.08,1.35,2.88,3.13,4.23,1.67,0,0,0.33,2,0,0,0.4,2.43,0,0,0.57
"375","James Ennis III","Nuggets",6,0.67,0,0.5,3.67,0.67,4.17,1.33,0.4,1,0,4.33,0.8,0.5,0.33,4.14,1,0.43,0.43
"376","James Harden","Clippers",302,5.55,5.68,4.8,4.08,11.22,8.88,16.2,5.8,9.2,1.6,20.5,6.2,9.5,2.6,22.13,6.4,9.73,2.87
"377","James Johnson","Pacers",75,1.11,1.33,1.15,1.95,2.44,3.09,0,0,0,0,0.67,0,0,0,1,0,0.5,0
"378","James Wiseman","Pacers",98,2.64,1.84,2.18,2.54,4.48,4.72,9.4,8,1.4,0,7,6.5,0.9,0,9.47,7.27,1,0
"379","Jamison Battle","Raptors",41,1.56,2.12,1.88,2.34,3.68,4.22,11.2,3.2,1.6,2.8,9.9,4.3,1,2.5,9.54,3.27,0.85,2.46
"380","Jamorko Pickett","Pistons",8,0.75,3.38,0.75,1.38,4.12,2.12,9.67,3.2,1.33,2.67,7.4,1.9,1,2,6.71,1.53,0.86,1.71
"381","Jarace Walker","Pacers",87,0.97,1.76,0.93,2.8,2.72,3.74,NA,0,NA,NA,4,0.2,0,1,3,0.2,0.5,0.5
"382","Jared Butler","76ers",108,1.11,1.84,1.43,3.69,2.95,5.12,12.4,2.8,6.4,2,12.4,2.8,6,1.7,11.07,2.67,5.4,1.6
"383","Jared Harper","Pelicans",4,0,0,1.75,7.5,0,9.25,10,0.2,3.67,1.33,7.4,0.22,2.8,1,7.4,0.22,2.8,1
"384","Jared McCain","76ers",22,2.77,3.5,4.45,5.18,6.27,9.64,11.75,2,3,2,14.89,2.6,2.44,2.11,18.57,2.53,3.36,2.93
"385","Jared Rhoden","Raptors",31,1.65,2.03,0.71,2.61,3.68,3.32,13.5,3,1.75,2,10.62,2.6,1,1.12,7.73,1.87,0.73,0.82
"386","Jaren Jackson Jr.","Grizzlies",300,4.74,4.84,4.87,5,9.58,9.87,16.4,5.2,2,1.4,18.7,4.5,1.9,2,18.67,4.27,1.73,1.93
"387","Jarred Vanderbilt","Lakers",219,1.84,1.91,2.08,1.13,3.75,3.21,1.4,3.8,1,0,3.9,4.6,0.9,0,3.64,3.6,0.79,0
"388","Jarrell Brantley","Jazz",3,1,3,1,2.33,4,3.33,5.5,1.2,0.75,1,5.5,1,0.75,1,5.5,1,0.75,1
"389","Jarrett Allen","Cavaliers",294,4.72,3.75,3.8,2.62,8.48,6.42,12.8,7,1.4,0,13.2,8.9,1.4,0,13.73,8.6,1.6,0
"390","Jarrett Culver","Hawks",39,0.49,0.85,0.44,2.87,1.33,3.31,3,1.2,0.33,0,5.38,3.7,0.75,0.12,4.78,2.47,0.67,0.11
"391","Jarron Cumberland","Trail Blazers",1,0,0,0,2,0,2,0.67,1,0.33,0,0.67,1,0.33,0,0.67,1,0.33,0
"392","Jason Preston","Jazz",13,0.85,0.31,0.92,2,1.15,2.92,1,1.2,1.5,0,2.67,1,3,0,2,1.07,2.67,0
"393","Javon Freeman-Liberty","Raptors",17,2.65,2.41,1.12,2.82,5.06,3.94,8.8,3.6,2.2,0.8,9.4,4.2,2.3,0.8,8.47,3.87,2.2,0.53
"394","Javonte Green","Cavaliers",160,2.15,1.67,1.64,1.51,3.82,3.14,0.67,0.8,0.33,0,2.43,1.1,0.29,0.14,2.3,1.4,0.4,0.3
"395","Javonte Smart","76ers",7,1.71,2.14,1.71,1.71,3.86,3.43,6.67,1,0.67,1.33,4,0.5,0.4,0.8,2.86,0.4,0.43,0.57
"396","Jaxson Hayes","Lakers",217,1.83,2.02,1.65,1.82,3.85,3.47,1.75,1.6,0.25,0,5.44,3.3,0.44,0,7.29,4.4,1.07,0
"397","Jay Huff","Grizzlies",60,1.58,2.03,1.73,2.72,3.62,4.45,4,0.6,0.5,0,3.8,0.5,0.4,0.6,4.67,0.73,0.44,0.78
"398","Jay Scrubb","Magic",12,0.25,0.17,0.17,4.58,0.42,4.75,6.5,1.2,0.5,1,3.83,1.1,0.33,0.5,3.86,0.93,0.29,0.43
"399","Jaylen Brown","Celtics",340,6.89,5.61,6.2,4.7,12.51,10.9,21,6.6,5.2,2.4,22.7,7.3,4.1,2.1,19.07,6.2,3.73,1.67
"400","Jaylen Clark","Timberwolves",29,0.9,1.62,1.66,1.31,2.52,2.97,3,1.2,0.33,0,2.25,0.7,0.25,0,2.2,0.47,0.2,0
"401","Jaylen Hoard","Thunder",6,4.67,4.5,3.83,4.17,9.17,8,18.4,12.4,2.8,1.6,14.71,10.5,2.43,1.29,14.71,10.5,2.43,1.29
"402","Jaylen Martin","Wizards",6,1.33,0.67,1.5,4.33,2,5.83,7.8,4.2,1.8,0.6,6.29,2.4,1.29,0.57,5.5,1.73,1.12,0.5
"403","Jaylen Morris","Spurs",2,0,0,0,1,0,1,0.67,0.4,0.67,0,0.67,0.4,0.67,0,0.67,0.4,0.67,0
"404","Jaylen Nowell","Wizards",142,1.99,3.06,2.34,2.56,5.05,4.9,0,0,0,0,5.75,1.8,2,0.62,5.92,1.47,1.5,0.67
"405","Jaylen Sims","Hornets",3,0,2,0.67,3.67,2,4.33,6.33,0.33,1.67,1,6.33,0.33,1.67,1,6.33,0.33,1.67,1
"406","Jaylen Wells","Grizzlies",76,2.88,2.34,3.03,1.99,5.22,5.01,7,4,1.6,1,6.9,3.2,1.4,1,6.67,3.8,1.73,1.07
"407","Jaylin Williams","Thunder",157,1.87,1.43,1.52,0.99,3.3,2.51,3.5,1,0.5,1,2,1.2,1,0.5,2.44,1.4,1.22,0.44
"408","Jaylon Tyson","Cavaliers",27,0.52,1.3,0.44,3.67,1.81,4.11,11,0.4,3,2,6.2,1.2,1.6,1.2,5.14,0.93,1.14,1
"409","Jayson Tatum","Celtics",367,7.05,6.95,7.57,5.48,13.99,13.05,27,11,6.4,4.2,26.78,10,5.67,3.56,26.77,8.73,6,3.23
"410","Jazian Gortman","Mavericks",7,1,0,0.43,2,1,2.43,1.5,0,0.5,0.5,1.33,0.2,0.5,0.17,1.45,0.27,0.55,0.18
"411","Jeff Dowtin Jr.","76ers",55,1.11,1.65,1.07,2.47,2.76,3.55,14.2,2.6,3,1.2,12.4,2.3,2.5,1.5,9.5,1.8,2.43,1.14
"412","Jeff Green","Rockets",244,2.12,2.62,1.71,1.59,4.74,3.3,1.5,0,0,0.5,2.25,0.4,1.25,0.5,1.86,0.6,1.14,0.29
"413","Jemerrio Jones","Lakers",2,0,1,0,1,1,1,2,0.6,0,0,2,0.6,0,0,2,0.6,0,0
"414","Jerami Grant","Trail Blazers",211,5.09,4.92,5.35,3.45,10,8.8,NA,0,NA,NA,NA,0,NA,NA,14.5,0.47,0.5,3
"415","Jeremiah Robinson-Earl","Pelicans",155,1.74,1.65,1.77,2.05,3.38,3.82,6.8,6.6,1.2,1.2,6.33,4.9,1.44,0.89,6.5,3.6,1.17,0.92
"416","Jeremy Lamb","Kings",51,1.82,2.55,1.35,2.2,4.37,3.55,7,2.2,2,0.8,7.2,3.3,1.7,0.8,6.93,2.93,1.57,0.79
"417","Jeremy Sochan","Spurs",177,3.43,2.85,3.05,2.38,6.28,5.43,15.8,6.2,2.2,0.4,13.9,5.8,2.1,0.6,13,5.93,2.2,0.53
"418","Jericho Sims","Bucks",115,0.87,1.05,0.87,1.37,1.92,2.24,2.8,4,0.2,0,2.67,3.9,0.44,0,3.14,4.67,0.71,0
"419","Jermaine Samuels Jr.","Rockets",6,0,0,0,3.33,0,3.33,0,0.2,0.5,0,0.67,0.2,0.33,0,1.33,0.2,0.17,0
"420","Jerome Robinson","Warriors",7,0,0.14,0.29,4,0.14,4.29,2.5,0,0,0,1.75,0.1,0,0,1.83,0.2,0,0
"421","Jett Howard","Magic",50,0.66,1.32,0.54,3.3,1.98,3.84,6,0,0,2,6.5,0.2,0.25,1.25,5.17,0.2,0.17,1
"422","Jevon Carter","Bulls",195,1.52,2.28,1.41,2.19,3.8,3.59,6,0.8,1.33,1.33,5,0.5,1,1,5,0.33,1,1
"423","Jimmy Butler III","Warriors",283,6.16,4.63,6.44,4.37,10.79,10.81,20.2,7.4,5.6,1.2,20.33,6.4,5.67,1.11,20.21,5.8,5.21,1
"424","Jock Landale","Rockets",182,1.62,1.77,1.34,1.88,3.38,3.21,2,0,0,0,6.67,0.8,0,0.33,6.6,1.07,0.2,0.4
"425","Joe Harris","Pistons",89,2.46,2.67,2.04,1.43,5.13,3.47,2,0,0,0,2,0,0,0,2.75,0.13,0.25,0.75
"426","Joe Ingles","Timberwolves",145,2.03,1.72,1.9,1.23,3.74,3.14,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA
"427","Joe Johnson","Celtics",1,0,0,0,2,0,2,2,0,0,0,2,0,0,0,2,0,0,0
"428","Joe Wieskamp","Raptors",14,0,1.07,0,3.93,1.07,3.93,0,0.2,0.67,0,0,0.2,0.33,0,0,0.27,0.29,0
"429","Joel Ayayi","Wizards",1,0,0,0,2,0,2,NA,0,NA,NA,0.5,0.2,0.5,0,0.33,0.2,0.67,0
"430","Joel Embiid","76ers",220,9.34,6.71,9.44,5.22,16.05,14.66,21.2,8.2,5,1.2,23.88,7.8,5.38,1.25,25.38,7.27,4.77,1.46
"431","John Butler Jr.","Wizards",8,1.12,0.38,1.5,2.62,1.5,4.12,0,0,0,0,0,0,0,0,3.08,0.67,0.58,0.58
"432","John Collins","Jazz",245,4.49,3.71,4,2.9,8.2,6.9,24.4,7.8,1,1.8,21.7,8.1,1,1.4,20.73,8.27,1.13,1.53
"433","John Konchar","Grizzlies",184,1.2,1.78,1.24,1.62,2.98,2.86,3.4,3.2,1.2,0.2,2.44,2.3,0.78,0.22,2.69,2.47,0.85,0.38
"434","John Wall","Clippers",34,2.85,3.5,2.65,2.35,6.35,5,9.2,3.2,5,0.6,9,2.8,4.5,1.1,9.47,3,5.13,1.07
"435","Johnny Davis","Wizards",75,1.32,1.21,0.72,2.01,2.53,2.73,0.67,0.6,0.33,0,1.14,0.6,0.29,0,1.3,0.4,0.2,0.1
"436","Johnny Furphy","Pacers",18,0.39,1.06,1.22,2.22,1.44,3.44,0.67,0,0,0,0.33,0.2,0,0,0.29,0.2,0.14,0
"437","Johnny Juzang","Jazz",82,2.34,2.07,1.5,2.67,4.41,4.17,12.4,3.6,1.8,2.6,11.11,2.9,1.44,2,11.64,3.4,1.21,2.07
"438","Jonas Valanciunas","Kings",322,3.94,3.63,3.6,2.61,7.57,6.21,5.8,4.4,0.6,0,7.9,5.8,1.1,0,8.27,7.6,1.8,0
"439","Jonathan Isaac","Magic",132,1.62,2.11,1.26,1.64,3.73,2.9,3.6,2,0.4,0.2,4.7,3.1,1,0.2,3.6,2.73,0.8,0.2
"440","Jonathan Kuminga","Warriors",261,2.85,3.66,2.75,3.74,6.51,6.48,20.8,3,1.2,1.6,15.86,1.7,1.14,1.14,14.2,1.87,1.3,1
"441","Jonathan Mogbo","Raptors",47,1.17,1.77,1.53,1.89,2.94,3.43,7.6,7.2,4.8,0,6.56,5.4,2.89,0,5.86,4.67,2.79,0.14
"442","Jontay Porter","Raptors",16,1.5,2.38,2.12,1.19,3.88,3.31,4.2,4.4,4.2,0.6,4.44,2.8,3.33,0.89,4.36,2.8,2.5,0.86
"443","Jordan Clarkson","Jazz",237,3.73,4.81,4.21,4.73,8.54,8.94,12.2,2.4,3.6,1.2,15.67,2.9,3.78,2.44,17,2.73,3.71,2.93
"444","Jordan Ford","Kings",3,0,0,0,4,0,4,5,0.2,1,1,1.67,0.1,0.33,0.33,2,0.13,0.33,0.33
