"","player_name","team","games_played_window","avg_points_q1_per_game","avg_points_q2_per_game","avg_points_q3_per_game","avg_points_q4_per_game","avg_points_first_half_per_game","avg_points_second_half_per_game","points_per_game_last5","rebounds_per_game_last5","assists_per_game_last5","threes_made_per_game_last5","points_per_game_last10","rebounds_per_game_last10","assists_per_game_last10","threes_made_per_game_last10","points_per_game_last15","rebounds_per_game_last15","assists_per_game_last15","threes_made_per_game_last15"
"488","Kawhi Leonard","Clippers",160,6.11,4.88,7.69,4.22,10.99,11.91,22.8,8.8,5.2,2,25.9,7.7,4.4,2.3,24.87,7.2,4.13,2.2
"489","Keaton Wallace","Hawks",23,1.61,1.39,1.22,2.35,3,3.57,3.5,0.4,3,0.5,3.25,0.3,1.75,0.75,3.25,0.2,1.75,0.75
"490","Keegan Murray","Kings",234,3.95,3.05,4.07,2.24,7,6.32,11.4,6.6,1,1.6,11.6,6.7,1.6,2,12.2,6.13,1.47,2.07
"491","Keifer Sykes","Pacers",22,1.95,2.09,2.05,1.86,4.05,3.91,8.67,0.2,2,1.67,6.17,0.4,1.67,1,5,0.4,1.8,0.7
"492","Keion Brooks Jr.","Pelicans",5,1.2,1.8,3.8,3,3,6.8,11.25,4.6,1,0.75,8.17,2.6,0.83,0.5,8.17,2.6,0.83,0.5
"493","Keita Bates-Diop","Nets",154,1.68,1.82,2.1,2.02,3.5,4.12,0.67,0.4,0.33,0,0.86,0.6,0.29,0,1.27,0.47,0.36,0
"494","Kel'el Ware","Heat",56,2.54,2,2.39,2.64,4.54,5.04,5,5.6,1.4,0.6,9,9.6,1.4,0.6,9.6,9,1.13,0.53
"495","Kelan Martin","Celtics",25,0.88,2.44,1.16,2.36,3.32,3.52,0,0.2,0,0,2.25,0.4,0,0.75,2.75,0.93,0.12,0.5
"496","Keldon Johnson","Spurs",278,4.1,4.27,4.55,3.67,8.37,8.22,12.2,6.8,2,0.6,12.7,6.3,2.1,1,14.13,5.93,1.8,1.2
"497","Keljin Blevins","Trail Blazers",19,0.32,1,1,2.68,1.32,3.68,2.6,1.6,0.4,0.6,4.6,2.9,0.7,1.1,3.54,2.07,0.54,0.85
"498","Kelly Olynyk","Pelicans",218,2.47,2.73,2.93,2.3,5.21,5.22,10,2.2,2.5,0.75,9.44,3.6,3.44,0.56,10.43,5.47,3.43,0.71
"499","Kelly Oubre Jr.","76ers",259,4.06,4,3.97,3.88,8.07,7.85,NA,0,NA,NA,9.5,0.7,1,0,19.5,1.47,2,1.83
"500","Kemba Walker","Mavericks",44,3.27,2.93,3.7,1.45,6.2,5.16,2,0,0.5,0.25,8,1.4,1.75,0.88,8,1.07,2.11,0.78
"501","Kendall Brown","Nets",11,0.18,0,0.09,2.82,0.18,2.91,0,0,1,0,0.33,0.3,0.33,0,0.57,0.2,0.29,0
"502","Kendrick Nunn","Wizards",57,2.19,1.93,2.12,2.46,4.12,4.58,13.8,3.4,3.2,2.4,11.44,2.1,2.33,2,8.92,1.53,1.69,1.62
"503","Kennedy Chandler","Grizzlies",21,0.1,1.05,0.1,2.48,1.14,2.57,1.33,0.6,0.33,0,2.4,0.6,1.4,0,2.12,0.4,1.38,0
"504","Kenneth Lofton Jr.","Jazz",34,0.85,0.88,1.12,3.71,1.74,4.82,16,3.8,6.33,1,13.75,2,4.75,1,9.5,1.53,3.17,0.67
"505","Kenrich Williams","Thunder",219,1.3,2.39,1.31,2,3.69,3.31,1.4,1.6,0.4,0.2,2,1.8,0.5,0.2,2.23,1.53,0.38,0.31
"506","Kent Bazemore","Lakers",24,1.5,1.21,1.29,1.5,2.71,2.79,0,0.4,0,0,0,0.4,0.5,0,0,0.27,0.5,0
"507","Kentavious Caldwell-Pope","Magic",331,3.24,2.66,2.88,2.01,5.9,4.89,5,3,1.8,1.2,8.44,2.7,2,2,8.62,2.67,2,2
"508","Keon Ellis","Kings",117,2.21,2.1,1.91,1.92,4.31,3.83,5.4,2.4,1.2,1.2,7.9,3,1.9,1.7,8.73,2.47,2,1.67
"509","Keon Johnson","Nets",135,1.89,1.84,2.04,3.41,3.73,5.44,14.2,4.6,3.2,2.6,13,4.9,2.8,2.5,11.93,4.73,2.53,2.2
"510","Keshad Johnson","Heat",6,0,0,0.5,4.17,0,4.67,0.67,0.2,0,0,2,0.4,0,0,2,0.27,0,0
"511","Kessler Edwards","Mavericks",92,1.75,1.5,1.5,2.26,3.25,3.76,12.6,5.8,1,1.6,10.2,4.2,1.7,1.5,8.87,4.8,1.87,1.2
"512","Kevin Durant","Suns",257,7.66,5.98,8.14,5.86,13.64,14,25,5.2,5.4,2.8,26.3,6.3,4.9,3.1,25,6.13,4.8,2.87
"513","Kevin Huerter","Bulls",281,3.39,3.08,3.4,2.39,6.47,5.79,10.8,2.2,3.4,1.6,14.6,3.6,3.7,2.6,14,3.87,3.2,2.4
"514","Kevin Knox II","Warriors",109,1.19,1.99,1.31,2.97,3.18,4.28,2.5,0.4,0.5,0,4.75,0.6,0.75,0.25,4.71,0.6,0.71,0.29
"515","Kevin Love","Heat",228,3.3,2.21,3.14,1.53,5.51,4.68,NA,0,NA,NA,0,0,0,0,3,0.13,0.5,1
"516","Kevin Pangos","Cavaliers",9,0.78,0.44,0.78,2.33,1.22,3.11,0,0,0,0,0,0,0,0,0,0,0,0
"517","Kevin Porter Jr.","Bucks",190,4.02,3.56,3.77,3.36,7.58,7.13,11.2,3.6,5.4,1.4,14,3.8,5.1,1.4,12.93,4,4,1.53
"518","Kevon Harris","Hawks",24,1,2.21,1.42,1.42,3.21,2.83,4,0.2,1,0,8.8,1.3,0.8,1,6,1.27,0.5,0.62
"519","Kevon Looney","Warriors",325,1.79,1.35,2.02,0.87,3.14,2.89,2.8,4.6,0.2,0,2.1,3.8,0.1,0,2.07,3.53,0.47,0
"520","Keyontae Johnson","Thunder",3,0,0,1.33,2.33,0,3.67,1,0.8,0,0,1.17,0.6,0.17,0.17,1.22,0.71,0.44,0.11
"521","Keyonte George","Jazz",133,3.5,3.04,3.94,4.4,6.53,8.34,20.6,3.2,5.6,3.2,20.25,3,5.12,2.62,18.38,3.2,5.31,2.77
"522","Khem Birch","Raptors",64,1.56,1.22,1.3,0.73,2.78,2.03,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA
"523","Khris Middleton","Wizards",199,4.49,4.36,3.98,4.09,8.85,8.07,9.4,3.6,2.8,1.4,11.4,3.8,3.1,1.1,11.5,3.47,3.36,1.21
"524","Killian Hayes","Nets",177,2.63,2.12,1.98,2.14,4.75,4.12,9.2,2.6,4.4,1.6,7.75,2.2,5,1.25,6.17,2.27,4.67,0.92
"525","Killian Tillie","Grizzlies",21,1.29,0.9,1.05,2.38,2.19,3.43,0,0.4,0.5,0,0.75,0.5,0.5,0.25,0.6,0.4,0.4,0.2
"526","Kira Lewis Jr.","Jazz",62,1.35,1.15,1.24,1.81,2.5,3.05,9,0.8,2.5,0,6.25,0.5,1.75,0.25,4.78,0.73,1.78,0.22
"527","Klay Thompson","Mavericks",277,5.26,4.41,4.95,3.93,9.66,8.87,16.4,3.2,1.2,3.2,16.22,3.4,2.33,2.67,16.71,3.47,2.5,3.07
"528","Kobe Brown","Clippers",39,0.46,0.69,0.46,2.82,1.15,3.28,5.33,0.2,1.33,0.33,3.2,0.1,0.8,0.2,2,0.27,0.78,0.11
"529","Kobe Bufkin","Hawks",26,1.23,1,0.88,2.04,2.23,2.92,NA,0,NA,NA,6.25,0.7,1.75,0,5.33,1.33,1.89,0.33
"530","Kobi Simmons","Raptors",5,0.4,2,0.8,1.8,2.4,2.6,2.6,1,2.4,0.2,2.5,1.1,1.6,0.3,2.27,1,1.55,0.27
"531","Kris Dunn","Clippers",160,1.96,1.86,2.08,1.5,3.82,3.58,5.8,3,1.2,1.4,6.5,3,1.3,1.5,5.73,2.73,1.73,1.07
"532","Kris Murray","Trail Blazers",94,1.39,1.51,1.81,2.09,2.9,3.89,5.6,3,2,0.4,5,3.8,1.56,0.33,4.08,3.47,1.31,0.23
"533","Kristaps Porzingis","Celtics",228,6.7,4.86,4.99,3.46,11.56,8.45,5,3.6,0.4,0.4,8,4.5,0.6,0.4,10.07,4.53,1,1.07
"534","Kyle Anderson","Heat",289,1.88,2.07,1.76,1.73,3.95,3.49,0,0.6,2,0,4.71,2.1,3.43,0,5.89,1.87,3.33,0.11
"535","Kyle Filipowski","Jazz",57,2.4,2.53,2.47,2.47,4.93,4.95,13,7.4,1.8,1.4,11.6,7,1.9,1.2,14.53,7.6,2.2,1.67
"536","Kyle Guy","Heat",12,1.67,2.17,1.08,1.25,3.83,2.33,0,0.8,0,0,0.25,0.4,0,0,1,0.4,0.25,0.12
"537","Kyle Kuzma","Bucks",260,4.96,4.49,5.07,4.24,9.45,9.31,5.8,2.2,0.8,0.4,9.2,3.8,1.6,0.8,10.47,3.87,1.67,1.07
"538","Kyle Lowry","76ers",231,2.58,2.68,2.89,2.43,5.26,5.32,2,1.4,2.2,0.2,3.56,2,2.89,0.78,3.15,1.67,2.54,0.62
"539","Kylor Kelley","Pelicans",7,2,0.57,0.57,1,2.57,1.57,3.5,1.4,1,0,2.2,0.9,0.4,0,3.5,1.53,0.38,0
"540","Kyrie Irving","Mavericks",227,5.68,5.76,6.55,7.4,11.44,13.95,23,5.4,3.4,2,22.56,4.2,2.78,2.56,23.36,4.73,3.5,2.36
"541","Kyshawn George","Wizards",62,2.52,2.23,2.27,2.21,4.74,4.48,11.67,3.2,3,1.67,11.62,3.9,3.12,2,11.69,4.47,3.54,2.08
"542","LaMarcus Aldridge","Nets",45,3.56,3.56,3.2,3.18,7.11,6.38,NA,0,NA,NA,0,0.6,0.5,0,4.75,1,0.75,0
"543","LaMelo Ball","Hornets",180,5.47,5.23,5.95,5.77,10.69,11.72,21.6,3.6,9.4,3.8,20.7,5.1,7.9,3.6,18.33,4.33,6.73,3.2
"544","Lamar Stevens","Grizzlies",150,1.31,1.81,1.65,2.13,3.13,3.78,2,0.8,0.5,0,1.5,0.4,0.17,0.17,3.45,1.73,0.55,0.55
"545","Lance Stephenson","Pacers",44,2.18,2.7,1.41,2.43,4.89,3.84,8.4,2.4,5,0.6,10.3,2.1,3.2,1,8.62,2.07,3.92,0.77
"546","Landry Shamet","Knicks",194,1.07,2.53,1.59,2.8,3.6,4.4,5.75,0.6,1.75,1.75,3.43,0.4,1.14,1,3,0.27,1,0.88
"547","Langston Galloway","Bucks",5,0.8,1.6,0.4,0,2.4,0.4,1.25,2.2,2,0.25,2,2.25,1.71,0.29,2,2.25,1.71,0.29
"548","Larry Nance Jr.","Hawks",190,1.64,1.99,1.84,1.97,3.64,3.82,9.2,4.6,1.8,1.4,6.67,3.9,1.56,0.89,7.45,3.33,1.45,0.91
"549","Lauri Markkanen","Jazz",232,5.66,5.13,5.14,4.66,10.79,9.8,15.5,2.8,0.75,3,17.67,4.2,0.67,2.78,17.21,5.2,0.64,2.79
"550","LeBron James","Lakers",278,5.57,7.44,6.26,7.22,13.01,13.48,25.4,9,5.6,2,23,7,6.6,1.7,23.4,7.67,6.8,1.73
"551","Leaky Black","Hornets",16,1,1.38,0.62,1.31,2.38,1.94,5,1.8,1.67,0.67,4.6,1.6,1.6,0.4,4.2,1.93,1.8,0.6
"552","Leandro Bolmaro","Jazz",18,0.33,0.28,0.28,2.22,0.61,2.5,0,0.4,0,0,0,0.2,0,0,0,0.2,0.25,0
"553","Leonard Miller","Timberwolves",16,0,0,0,3.75,0,3.75,11,0.6,0,1,6.5,0.4,0,0.5,4.33,0.33,0,0.33
"554","Lester Quinones","Pelicans",34,0.74,0.85,1.18,3.56,1.59,4.74,7.25,0.8,2.25,1.75,6.33,0.7,1.5,1.17,6,0.67,1.44,1
"555","Liam Robbins","Bucks",5,0,0,0,1.8,0,1.8,0,0,0,0,0.5,0.3,0,0,0.5,0.47,0.12,0
"556","Lindell Wigginton","Bucks",18,1,1.5,1.17,3.89,2.5,5.06,0,0,0,0,3,0,0,0,2,0,0,0
"557","Lindy Waters III","Pistons",111,1.09,2.23,0.88,2.83,3.32,3.71,NA,0,NA,NA,NA,0,NA,NA,3,0.13,1.5,1
"558","Lonnie Walker IV","76ers",195,2.95,3.23,2.87,2.7,6.18,5.57,13,2.8,2.4,2.4,13.11,3.2,2.78,2.44,10.5,3,2.21,2
"559","Lonzo Ball","Bulls",69,3.68,2.48,2.54,1.68,6.16,4.22,11.67,1.6,2,2.67,9.38,2.7,2.5,2.12,9.62,3,2.54,2.31
"560","Lou Williams","Hawks",55,1,2.18,0.84,2.42,3.18,3.25,4.6,2,1.4,0.6,4.8,1.7,1.6,0.5,5.33,1.47,1.6,0.47
"561","Louis King","76ers",10,0.5,0.5,2.1,3.4,1,5.5,20,0.8,2,4,8.33,0.5,2,1.67,6,0.53,1.67,1.17
"562","Luca Vildoza","Bucks",2,0,0,0,2.5,0,2.5,0.67,0.2,0.33,0,0.71,0.2,0.57,0.14,0.71,0.18,0.57,0.14
"563","Luguentz Dort","Thunder",303,3.71,2.68,3.6,2.29,6.39,5.89,7.8,5.2,0.6,2.2,7.9,4.1,0.6,2.4,8.07,4,0.93,2.27
"564","Luka Doncic","Lakers",289,9.9,7.02,8.24,5.36,16.92,13.59,30.2,7,5.8,3.2,29.7,7.1,6.4,3.5,30.73,7.87,6.8,3.93
"565","Luka Garza","Timberwolves",97,0.92,1.12,0.94,3.59,2.04,4.53,3.67,0.4,0,0.33,2.75,0.2,0,0.25,2.6,0.2,0,0.2
"566","Luka Samanic","Jazz",35,1.29,1.06,1.86,2.83,2.34,4.69,12.4,5.4,1.8,0.4,9.25,3.8,1.25,0.38,7.4,2.53,1,0.3
"567","Luke Kennard","Grizzlies",224,2.67,3.17,2.34,2.58,5.85,4.92,4.2,3,1.8,0.6,4.5,2.9,2.2,0.7,5.67,2.73,2.73,0.73
"568","Luke Kornet","Celtics",192,1.16,1.69,1.21,1.67,2.84,2.89,5.4,4.8,0.4,0,4.8,4.2,0.5,0,5.87,5.33,1,0
"569","Luke Travers","Cavaliers",2,1,0,1,2,1,3,0,1,0.33,0,0.57,0.8,0.57,0,0.5,0.6,0.5,0
"570","Mac McClung","Magic",4,1.25,0.5,2,4,1.75,6,0,0,1,0,0,0.1,1.5,0,6.2,0.93,2.6,1
"571","Malachi Flynn","Hornets",119,1.07,1.91,1.11,2.9,2.97,4.01,4.67,1.4,1.67,0.33,5.25,1,2,0.25,9.15,1.47,2.77,0.92
"572","Malaki Branham","Spurs",161,2.2,2.6,2.09,2.63,4.8,4.72,10.25,1.2,1.25,1.5,9.6,0.6,1.2,1.6,6.38,0.47,0.75,1.12
"573","Malcolm Brogdon","Wizards",181,3.75,4.48,3.74,3.43,8.23,7.17,10,1.6,5,0,8.57,2.1,4.57,0.14,11.58,2.67,5.08,0.42
"574","Malcolm Hill","Pelicans",13,1.31,1.46,1.15,2,2.77,3.15,NA,0,NA,NA,0,0,0,0,1.25,0.13,0,0.25
"575","Malevy Leons","Thunder",2,0,0,0,1,0,1,0,0,0,0,0,0.1,0,0,0.08,0.07,0,0
"576","Malik Beasley","Pistons",330,3.44,3.25,3.21,3.05,6.69,6.26,12.8,2.2,1,2.8,15.1,1.8,1.4,4.1,13.93,2,1.53,3.67
"577","Malik Fitts","Celtics",7,0.43,0.43,0,3.29,0.86,3.29,1.5,0,0,0.5,0.6,0,0,0.2,0.86,0,0,0.29
"578","Malik Monk","Kings",289,3.35,4.03,3.63,3.97,7.37,7.6,13.8,2.6,2.6,1.6,16.5,3.5,4.2,1.9,15.53,3.6,4.93,1.8
"579","Malik Newman","Cavaliers",1,0,0,0,8,0,8,8,0.33,1,0,8,0.33,1,0,8,0.33,1,0
"580","Malik Williams","Raptors",3,3,1.33,1.33,0.67,4.33,2,3.8,6.6,0.2,0.2,2.71,5.43,0.29,0.14,2.71,5.43,0.29,0.14
"581","Mamadi Diakite","Knicks",30,0.8,1.33,0.67,1.43,2.13,2.1,0.5,0.6,0.25,0,0.5,0.3,0.25,0,0.5,0.2,0.25,0
"582","Maozinha Pereira","Grizzlies",6,0.83,2.17,1.33,3.67,3,5,7.5,4,0.25,1,5.75,3.7,0.25,0.62,5.33,3.36,0.22,0.56
"583","MarJon Beauchamp","Knicks",94,0.97,1.2,0.9,2.84,2.17,3.74,2.33,0.8,0,0.33,4,0.7,0.25,0.5,2.71,0.53,0.29,0.43
"584","Marcus Bagley","76ers",4,1.5,5,1.5,1.25,6.5,2.75,9.25,7.25,1.25,1,9.25,7.25,1.25,1,9.25,7.25,1.25,1
"585","Marcus Garrett","Hornets",9,1,0.89,1,1.67,1.89,2.67,5.6,1.2,2.6,0.6,4.1,2.1,1.6,0.4,2.93,1.93,1.29,0.29
"586","Marcus Morris Sr.","Cavaliers",170,3.88,2.54,3.63,1.65,6.42,5.28,8,1.4,0,1.5,6.11,2.5,0.33,1,6.2,1.87,0.3,1
"587","Marcus Sasser","Pistons",103,0.99,2.38,1.92,3.13,3.37,5.05,NA,0,NA,NA,8,0.1,3,1,3.67,0.2,1.67,0.67
"588","Marcus Smart","Wizards",218,3.15,3.14,3.71,2.5,6.29,6.22,10,1,2.5,2,10,1.2,3.67,1.5,10.27,1.47,3.09,1.45
"589","Mark Williams","Hornets",100,2.65,3.26,3.09,3.23,5.91,6.32,12.6,9.4,3,0,14.5,10.4,3.1,0,15.27,10.8,2.53,0
"590","Markelle Fultz","Kings",132,2.68,2.35,3.39,2.55,5.03,5.93,3,0.6,2,0,2.6,0.5,1.4,0.2,1.5,0.4,0.9,0.1
"591","Markieff Morris","Lakers",72,1.18,1.56,0.82,1.65,2.74,2.47,NA,0,NA,NA,NA,0,NA,NA,5.5,0.27,1.5,0.5
"592","Marko Simonovic","Bulls",7,0,0,0,3.29,0,3.29,2,0.2,0,0.5,1.5,0.2,0,0.25,1,0.13,0,0.17
"593","Markquis Nowell","Raptors",1,0,0,0,2,0,2,1,0.67,1,0,1,0.67,1,0,1,0.67,1,0
"594","Markus Howard","Nuggets",17,0.47,1.88,0.29,4.65,2.35,4.94,12.5,0.6,0.5,1,12.5,0.3,0.5,1,6.8,0.33,0.2,1
"595","Marques Bolden","Hornets",6,1,2.33,2.17,0.67,3.33,2.83,5.5,3,1,0,5.29,3.1,0.57,0,4.11,2.13,0.44,0
"596","Marquese Chriss","Mavericks",32,1,1.22,1.19,1.84,2.22,3.03,0,0.2,0,0,1.17,0.5,0,0.17,1.75,0.6,0,0.12
"597","Marvin Bagley III","Grizzlies",158,2.92,2.89,3.04,2.17,5.82,5.22,8.5,1.2,0,0.5,3.8,0.7,0,0.2,2.62,0.67,0,0.12
"598","Mason Jones","Kings",11,0,0.27,0.64,4.09,0.27,4.73,1,0,0,0,2.25,0,0.25,0,3.83,0.27,0.5,0.17
"599","Mason Plumlee","Suns",261,2.02,1.56,2.09,1.73,3.59,3.82,3.33,2.6,1,0,4.88,4,0.75,0,6.54,5.4,1.15,0
"600","Matas Buzelis","Bulls",67,2.73,2.67,2.27,1.84,5.4,4.1,13.4,4.8,2.4,1.8,14.8,4.3,2.1,2.2,13.47,4.47,1.8,1.87
"601","Matisse Thybulle","Trail Blazers",176,1.77,1.53,1.54,1.39,3.3,2.93,6.8,3.4,2.4,1.2,5.75,2.9,2,0.88,5.75,1.93,2,0.88
"602","Matt Hurt","Grizzlies",5,2.2,1.2,0.6,2.4,3.4,3,0,0.2,0,0,1.67,1,0.11,0.33,1.69,0.93,0.23,0.23
"603","Matt Ryan","Knicks",46,0.96,1.5,0.8,3.37,2.46,4.17,0,0,0,0,0.75,0.1,0.5,0.25,0.5,0.13,0.5,0.17
"604","Matt Thomas","Bulls",27,0.74,1.48,0.93,2.81,2.22,3.74,NA,0,NA,NA,0,0,0,0,2.67,0.07,0,0.67
"605","Matthew Dellavedova","Kings",14,0.79,0.71,0.43,1.43,1.5,1.86,2.33,0.4,1.67,0.33,2,0.2,1,0.4,1.67,0.27,1.17,0.33
"606","Maurice Harkless","Kings",35,2.34,1.89,1.17,0.8,4.23,1.97,NA,0,NA,NA,NA,0,NA,NA,0,0.27,0.25,0
"607","Max Christie","Mavericks",151,1.84,1.7,1.75,1.93,3.54,3.68,7.2,3.8,1.6,1.2,9.1,4.7,2.1,1.5,9.27,4.27,2.27,1.67
"608","Max Strus","Cavaliers",308,3.05,2.94,3.01,2.67,5.98,5.68,12.2,7,3.8,2.8,12.4,5.6,3.8,3.1,12.2,5.27,3.73,2.93
"609","Maxi Kleber","Lakers",176,1.59,1.67,1.69,1.41,3.26,3.1,3.2,1.6,1.6,0.4,4.1,1.6,1.7,0.6,3.8,2.07,1.73,0.53
"610","Maxwell Lewis","Nets",16,0.94,1.25,0.88,2.38,2.19,3.25,6,3.2,0.8,0.4,7.33,2.5,1,1,6.6,1.73,0.9,0.9
"611","McKinley Wright IV","Mavericks",22,0.59,1.73,1,2.09,2.32,3.09,9.33,1.4,3.33,0.67,8.83,1.7,2.67,0.83,8.11,1.47,3.11,0.89
"612","Melvin Frazier Jr.","Thunder",3,1.67,2.33,0.67,6,4,6.67,10.67,4.33,0.33,0.33,10.67,4.33,0.33,0.33,10.67,4.33,0.33,0.33
"613","Meyers Leonard","Bucks",7,1.14,2.14,1.57,1.29,3.29,2.86,0,0.2,0,0,3.8,2.2,0.2,0.4,4.83,1.67,0.17,0.5
"614","Mfiondu Kabengele","Celtics",2,0,1,1,1,1,2,2,1,0,0,2,0.5,0,0,1.33,0.4,0,0
"615","Micah Potter","Jazz",44,1.45,1.23,1.32,1.25,2.68,2.57,2.4,5.4,0.6,0.2,4.7,5.2,0.8,0.7,4.4,4.8,0.73,0.73
"616","Michael Carter-Williams","Magic",4,1,0,1.25,2,1,3.25,4.25,1,1.75,0.25,4.25,0.5,1.75,0.25,4.25,0.33,1.75,0.25
"617","Michael Porter Jr.","Nuggets",268,4.9,3.95,4.67,2.72,8.85,7.39,8.4,5.6,0.8,1.4,8.6,4.8,0.5,1.6,9,5.93,0.6,1.6
"618","Mikal Bridges","Knicks",353,5.13,3.81,4.95,3.79,8.95,8.74,15.8,3.2,2.8,1.4,16.1,3.8,3,1.3,15.53,4.47,3.2,1.47
"619","Mike Conley","Timberwolves",313,2.66,2.86,3,2.83,5.52,5.83,4.4,2.2,2.4,1.2,6.2,2.7,3.7,1.5,6,2.93,3.33,1.33
"620","Mike Muscala","Thunder",124,1.38,1.91,1.94,1.97,3.29,3.91,NA,0,NA,NA,NA,0,NA,NA,0.5,0.67,0.5,0
"621","Miles Bridges","Hornets",207,5.11,4.67,5.82,4.77,9.78,10.58,12.8,5.4,3.2,1.8,22.3,7,4.1,2.7,21.87,7.6,4.27,2.47
"622","Miles McBride","Knicks",203,1.84,2.45,1.49,2.59,4.29,4.08,4.8,1.4,1,0.8,6.5,1.2,1,1.3,6.2,1.2,0.93,1.27
"623","Mitchell Robinson","Knicks",199,2.46,1.72,1.74,1.42,4.18,3.16,6.4,7.4,0.4,0,5.3,7.8,0.6,0,5.07,7.33,0.4,0
"624","Miye Oni","Pelicans",2,0,0,0,2.5,0,2.5,NA,0,NA,NA,0,0.2,0,0,0.6,0.2,0.2,0.2
"625","Mo Bamba","Pelicans",181,2.39,2.14,1.85,1.75,4.52,3.6,2.5,5,0.5,0,3.83,3.1,0.67,0.5,4.73,3.8,0.55,0.55
"626","Monte Morris","Suns",211,2.82,2.28,2.49,2.09,5.1,4.58,7,0.4,2,1,9.5,0.3,1,2.5,6,0.33,1.25,1.5
"627","Montrezl Harrell","76ers",116,2.3,3.28,2.25,3,5.58,5.25,NA,0,NA,NA,0,0.1,0,0,6.8,1.13,0.4,0
"628","Moritz Wagner","Magic",230,2.18,3.11,1.93,3.47,5.29,5.4,13,3,1.4,1.2,12.2,5.5,1.4,0.9,13.33,5.33,1.93,0.93
"629","Moses Brown","Mavericks",79,1.49,1.03,1.29,2.23,2.52,3.52,11.75,6.2,0.5,0,6.71,3.1,0.29,0,5.83,2.67,0.17,0
"630","Moses Moody","Warriors",239,1.62,1.86,1.92,2.72,3.49,4.64,3.6,0.8,1.2,0.6,6.6,2.2,1.2,1.1,7.2,2.27,1.07,1.27
"631","Moses Wright","Mavericks",2,0,0,0,2.5,0,2.5,1.67,0.6,0.33,0,1.67,0.3,0.33,0,1.25,0.27,0.5,0
"632","Mouhamadou Gueye","Raptors",9,1.22,0.44,0.22,1,1.67,1.22,3.75,2.6,1,0,2.67,1.8,0.56,0,2.36,1.92,0.45,0
"633","Mouhamed Gueye","Hawks",28,2.54,0.89,2.32,1,3.43,3.32,7.2,6.4,1.4,0.6,5.44,4.5,1,0.56,6.71,4.33,1.07,0.86
"634","Moussa Diabate","Hornets",75,1.2,1.31,1.15,2.12,2.51,3.27,7.8,4.6,1,0,6.5,4.8,1,0,5.93,4.2,0.93,0
"635","Mychal Mulder","Heat",10,0.9,2,1.6,2.4,2.9,4,7,0.6,1,2,6.2,1,0.8,1.4,4.86,0.93,0.57,1.14
"636","Myles Powell","76ers",4,0.5,0,0,2.75,0.5,2.75,0,0,0,0,0,0.1,0,0,0,0.07,0.2,0
"637","Myles Turner","Pacers",287,4.53,4.06,4.77,2.66,8.58,7.43,8.6,3.6,1.2,0.6,10.3,3.8,1.3,1,12.13,4.27,1.47,1.2
"638","N'Faly Dante","Rockets",2,0,0,3.5,5.5,0,9,9,3,1,0,9,1.67,1,0,9,1.67,1,0
"639","Nae'Qwan Tomlin","Cavaliers",3,0,0,0,3.33,0,3.33,3.5,1,0,0,3.33,1,0,0,3.33,1,0,0
"640","Naji Marshall","Mavericks",252,1.87,2.46,2.2,2.7,4.33,4.9,11,5.6,3.6,0.6,15.5,5.8,3.6,0.7,17.67,6.93,4,0.87
"641","Nassir Little","Suns",120,2.04,1.92,1.77,2.01,3.96,3.78,2.2,0.2,0,0.2,1.62,0.2,0,0.12,2,0.27,0.1,0.2
"642","Nate Hinton","Rockets",8,0,1.12,0.38,2.62,1.12,3,0.67,1.4,1.33,0,2.4,1.3,1.2,0.4,2.11,0.93,0.89,0.33
"643","Nate Williams","Rockets",29,0.66,0.69,0.9,3.52,1.34,4.41,0,0,0,0,2.4,0.2,0.2,0.2,1.71,0.2,0.29,0.14
"644","Nathan Knight","Timberwolves",54,0.7,0.89,1.11,2.46,1.59,3.57,1,0.2,0,0,1.17,0.6,0.17,0,1.17,0.4,0.17,0
"645","Nathan Mensah","Hornets",12,0.5,0.92,0.17,1.17,1.42,1.33,2,1,0,0,0.67,0.8,0,0,0.55,1.27,0.45,0
"646","Naz Reid","Timberwolves",332,3.03,3.49,2.33,2.95,6.52,5.28,9.2,7,1.6,0.8,9.8,5.2,1.8,1.4,10.4,4.73,1.67,1.67
"647","Neemias Queta","Celtics",80,0.76,1.69,0.92,2.94,2.45,3.86,2,0.4,0.33,0,2.5,0.2,0.5,0,3.83,0.2,0.67,0
"648","Nemanja Bjelica","Warriors",74,1.65,2.07,1.09,1.62,3.72,2.72,1.5,1.4,0.25,0,2.57,1.7,1,0.29,2.09,1.6,1.09,0.27
"649","Nerlens Noel","Nets",32,0.59,1.19,1.16,0.81,1.78,1.97,1,1.8,1,0,0.75,1,0.75,0,1.2,0.8,0.6,0
"650","Nic Claxton","Nets",262,2.89,2.9,3.19,2.19,5.79,5.38,8.2,8.6,2.2,0.2,9.6,8.2,3.3,0.1,10.07,7.6,3.13,0.07
"651","Nick Richards","Suns",213,2.33,2.2,2.25,1.8,4.53,4.05,10,7,0.8,0,11.9,7.4,0.6,0,11.2,8.13,0.8,0
"652","Nick Smith Jr.","Hornets",90,1.29,2.54,1.71,3.36,3.83,5.07,10.4,2.4,3.2,2,10.9,2.5,2.9,1.8,11.07,2.47,2.73,1.8
